Index,Nome,Formato,Pokemon,Gênero,PC,PS,Atq IV,Def IV,PS IV,IV Médio,Nível Min,Nível Max,Movimento rápido,Movimento de carga,Movimento de carga 2,Data de digitalização,Data Pego,Peso,Altura,Sortudo,Sombras/Purificado,Favorito,Poeira,Class % (G),Class # (G),Prod Estat (G),Custo de Poeira (G),Custo de Doces (G),Nome (G),Formato (G),Som/Pur (G),Class % (U),Class # (U),Prod Estat (U),Custo de Poeira (U),Custo de Doces (U),Nome (U),Formato (U),Som/Pur (U),Marcado para uso PvP
204,Pikachu,Normal,25,♂,405,63,,,,49.6,17.0,17.0,Ataque Rápido,Ataque Selvagem,,"2021-11-19 22:04",,10.58kg,052.13m,0,0,0,2200,32.63%,1231,95.33%,52800,96,Raichu,Normal,0,46.50%,1488,89.64%,488800,310,Raichu,Normal,0,
205,Pikachu,Normal,25,♂,414,67,,,,64.2,17.0,17.0,Ataque Rápido,Ataque Selvagem,,"2021-11-19 22:04",,8.47kg,0.49m,0,0,0,2200,67.70%,71,97.99%,48800,93,Raichu,Normal,0,77.37%,384,93.85%,488800,310,Raichu,Normal,0,
206,Pikachu,Normal,25,♂,432,68,,,,55.6,18.0,18.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 22:04",,9.73kg,0.51m,0,0,0,2200,32.95%,1392,95.14%,44400,89,Raichu,Normal,0,59.08%,1160,90.63%,484400,306,Raichu,Normal,0,
207,Pikachu,Normal,25,♀,443,69,,,,63.9,18.0,18.0,Ataque Rápido,Relâmpago,,"2021-11-19 22:04",,5.34kg,0.4m,0,0,0,2200,16.45%,2225,94.21%,40400,86,Raichu,Normal,0,74.60%,570,92.86%,484400,306,Raichu,Normal,0,
208,Pikachu,Normal,25,♂,445,71,,,,54.1,19.0,19.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 22:04",,7.17kg,0.4m,0,0,0,2500,80.52%,10,98.77%,44000,88,Raichu,Normal,0,62.47%,926,91.40%,480000,302,Raichu,Normal,0,
209,Pikachu,Normal,25,♂,455,72,,,,60.9,19.0,19.0,Trovoada de Choques,,,"2021-11-19 22:04",,4.13kg,0.33m,0,0,0,2500,63.92%,44,98.23%,40000,85,Raichu,Normal,0,74.03%,401,93.75%,480000,302,Raichu,Normal,0,
210,Pikachu,Normal,25,♂,479,71,,,,56.5,20.0,20.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 22:04",,4.85kg,0.34m,0,0,0,2500,38.33%,975,95.66%,35000,81,Raichu,Normal,0,61.29%,962,91.29%,475000,298,Raichu,Normal,0,
211,Pikachu,Normal,25,♀,490,69,,,,42.5,21.0,21.0,Trovoada de Choques,,,"2021-11-19 22:04",,5.53kg,0.38m,0,0,0,3000,23.76%,1614,94.88%,34000,80,Raichu,Normal,0,31.75%,2105,87.96%,470000,294,Raichu,Normal,0,
212,Pikachu,Normal,25,♀,497,72,,,,51.9,21.0,21.0,Ataque Rápido,Descarga,,"2021-11-19 22:03",,8.54kg,0.58m,0,0,0,3000,71.23%,79,97.93%,34000,80,Raichu,Normal,0,53.78%,1135,90.71%,470000,294,Raichu,Normal,0,
213,Pikachu,Normal,25,♀,498,75,,,,58.3,21.0,21.0,Trovoada de Choques,Relâmpago,,"2021-11-19 22:03",,6.15kg,0.38m,0,0,0,3000,72.65%,358,96.78%,34000,80,Raichu,Normal,0,70.38%,641,92.53%,470000,294,Raichu,Normal,0,
214,Pikachu,Normal,25,♂,507,74,,,,44.4,22.0,22.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 22:03",,4.62kg,0.38m,0,0,0,3000,73.11%,504,96.44%,32000,78,Raichu,Normal,0,38.46%,1792,88.79%,464000,288,Raichu,Normal,0,
215,Pikachu,Normal,25,♂,509,75,,,,63.8,21.0,21.0,Trovoada de Choques,Relâmpago,,"2021-11-19 22:03",,7.43kg,0.44m,0,0,0,3000,71.50%,32,98.37%,30000,77,Raichu,Normal,0,77.84%,355,94.04%,470000,294,Raichu,Normal,0,
216,Pikachu,Normal,25,♂,523,76,,,,71.1,21.0,21.0,Trovoada de Choques,Descarga,,"2021-11-19 22:03",,7.64kg,0.44m,0,0,0,3000,44.84%,1570,94.94%,26000,74,Raichu,Normal,0,88.05%,348,94.07%,470000,294,Raichu,Normal,0,
217,Pikachu,Normal,25,♀,537,81,,,,36.7,24.0,24.0,Ataque Rápido,Relâmpago,,"2021-11-19 22:03",,6.43kg,0.37m,0,0,0,3500,55.01%,1408,95.11%,19000,66,Raichu,Normal,0,27.06%,2867,85.84%,451000,276,Raichu,Normal,0,
218,Pikachu,Normal,25,♂,556,76,,,,30.6,25.0,25.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 22:03",,5.83kg,0.37m,0,0,0,4000,72.82%,136,97.54%,16000,64,Raichu,Normal,0,16.53%,3039,85.34%,444000,270,Raichu,Normal,0,
219,Pikachu,Normal,25,♀,567,75,,,,63.7,23.0,23.0,Trovoada de Choques,Voar,,"2021-11-19 22:03",,4.61kg,0.33m,0,0,0,3500,21.77%,2572,93.83%,14000,62,Raichu,Normal,0,76.86%,676,92.35%,458000,282,Raichu,Normal,0,
220,Pikachu,Normal,25,♂,581,78,,,,45.6,25.0,25.0,Trovoada de Choques,,,"2021-11-19 22:03",,5.29kg,0.33m,0,0,0,4000,44.46%,766,95.97%,8000,56,Raichu,Normal,0,44.04%,1660,89.16%,444000,270,Raichu,Normal,0,
221,Pikachu,Normal,25,♀,587,76,,,,33.7,26.0,26.0,Trovoada de Choques,,,"2021-11-19 22:03",,8.7kg,0.46m,0,0,0,4000,36.56%,1241,95.32%,4000,54,Raichu,Normal,0,20.39%,2796,86.04%,436000,264,Raichu,Normal,0,
222,Pikachu,Normal,25,♂,632,84,,,,77.0,25.0,25.0,Ataque Rápido,Descarga,,"2021-11-19 22:01",,4.76kg,0.34m,0,0,0,4000,90.37%,159,93.56%,444000,220,Pikachu,Normal,0,90.75%,137,95.95%,444000,270,Raichu,Normal,0,
223,Pikachu,Normal,25,♂,691,89,,,,60.8,29.0,29.0,Trovoada de Choques,Relâmpago,,"2021-11-19 14:39",,7.45kg,0.42m,0,0,0,5000,72.60%,631,88.96%,410000,190,Pikachu,Normal,0,75.67%,503,93.19%,410000,240,Raichu,Normal,0,
224,Pikachu,Normal,25,♂,722,87,,,,58.1,30.0,30.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 14:35",,3.97kg,0.37m,0,0,0,5000,64.48%,845,87.74%,400000,182,Pikachu,Normal,0,64.05%,809,91.84%,400000,232,Raichu,Normal,0,
225,Pikachu,Normal,25,♀,184,46,,,,54.3,8.0,8.0,Ataque Rápido,Descarga,,"2021-11-19 14:32",,4.9kg,0.37m,0,0,0,800,82.25%,2,99.40%,77600,126,Raichu,Normal,0,64.35%,708,92.23%,513600,340,Raichu,Normal,0,
226,Pikachu,Normal,25,♂,183,43,,,,43.0,8.0,8.0,Ataque Rápido,Ataque Selvagem,,"2021-11-19 14:32",,4.11kg,0.34m,0,0,0,800,27.49%,964,95.68%,77600,126,Raichu,Normal,0,36.02%,1702,89.05%,513600,340,Raichu,Normal,0,
227,Pikachu,Normal,25,♀,59,25,,,,40.2,3.0,3.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 14:32",,7.18kg,0.4m,0,0,0,400,68.52%,17,98.67%,87200,140,Raichu,Normal,0,32.81%,1722,88.98%,519200,350,Raichu,Normal,0,
228,Pikachu,Normal,25,♂,38,20,,,,69.5,2.0,2.0,Trovoada de Choques,Relâmpago,,"2021-11-19 14:31",,5.53kg,0.39m,0,0,0,200,47.14%,81,97.91%,79600,135,Raichu,Normal,0,84.00%,121,96.15%,519600,352,Raichu,Normal,0,
229,Pikachu,Normal,25,♂,59,25,,,,40.2,3.0,3.0,Ataque Rápido,Ataque Selvagem,,"2021-11-19 14:31",,3.63kg,0.33m,0,0,0,400,68.52%,17,98.67%,87200,140,Raichu,Normal,0,32.81%,1722,88.98%,519200,350,Raichu,Normal,0,
230,Pikachu,Normal,25,♀,110,32,,,,40.7,5.0,5.0,Trovoada de Choques,Relâmpago,,"2021-11-19 14:30",,8.7kg,0.5m,0,0,0,600,16.22%,1482,95.04%,81600,132,Raichu,Normal,0,29.02%,1989,88.26%,517600,346,Raichu,Normal,0,
231,Pikachu,Normal,25,♀,36,18,,,,42.8,2.0,2.0,Trovoada de Choques,Descarga,,"2021-11-19 14:29",,3.34kg,0.34m,0,0,0,200,23.38%,787,95.94%,87600,142,Raichu,Normal,0,32.42%,1739,88.94%,519600,352,Raichu,Normal,0,
232,Pikachu,Normal,25,♂,34,19,1,7,5,28.9,2.0,2.0,,,,"2021-11-19 14:29",26/5/2020,,,0,0,0,200,80.07%,817,95.90%,91600,146,Raichu,Normal,0,14.99%,3482,83.77%,519600,352,Raichu,Normal,0,
233,Pikachu,Normal,25,♀,37,20,12,1,14,60.0,2.0,2.0,Ataque Rápido,Relâmpago,,"2021-11-19 14:28",25/5/2020,7.02kg,0.39m,0,0,0,200,53.36%,1911,94.56%,79600,135,Raichu,Normal,0,68.67%,1284,90.25%,519600,352,Raichu,Normal,0,
234,Turtwig,,387,♂,879,111,14,7,15,80.0,27.0,27.0,Folha Navalha,Bomba de Sementes,,"2021-11-18 23:45",17/11/2021,7.54kg,0.33m,0,0,0,4500,26.54%,3009,93.81%,13500,37,Grotle,,0,37.88%,2545,95.65%,38000,157,Torterra,,0,
235,Turtwig,,387,♂,797,107,2,7,8,37.8,27.5,27.5,,,,"2021-11-18 23:44",18/11/2021,,,0,0,0,4500,83.44%,679,97.02%,51500,71,Grotle,,0,84.35%,642,97.57%,93500,219,Torterra,,0,
236,Turtwig,,387,♂,788,104,1,14,4,42.2,27.0,27.0,Folha Navalha,Bola de Energia,,"2021-11-18 23:44",16/11/2021,9.69kg,0.42m,0,0,0,4500,86.52%,553,97.26%,50000,69,Grotle,,0,82.52%,717,97.48%,90000,213,Torterra,,0,
237,Turtwig,,387,♂,597,96,0,13,15,62.2,20.0,20.0,,,,"2021-11-18 23:44",17/11/2021,,,0,0,0,2500,99.51%,21,99.31%,85000,99,Grotle,,0,98.80%,50,99.01%,123000,239,Torterra,,0,
238,Turtwig,,387,♂,583,89,13,1,7,46.7,19.0,19.0,Investida,Pancada Corporal,,"2021-11-18 23:44",16/11/2021,9.69kg,0.37m,0,0,0,2500,30.33%,2854,94.12%,0,125,Torterra,,0,10.55%,3664,94.37%,121000,235,Torterra,,0,
239,Turtwig,,387,♂,569,87,10,12,9,68.9,18.0,18.0,,,,"2021-11-18 23:44",16/11/2021,,,0,0,0,2200,62.64%,1531,95.62%,2200,127,Torterra,,0,50.57%,2025,96.14%,106400,219,Torterra,,0,
240,Turtwig,,387,♂,486,81,13,10,12,77.8,15.0,15.0,,,,"2021-11-18 23:44",16/11/2021,,,0,0,0,1900,25.69%,3044,93.76%,81900,99,Grotle,,0,35.12%,2658,95.54%,106400,219,Torterra,,0,
241,Turtwig,,387,♀,362,67,9,10,0,42.2,12.0,12.0,,,,"2021-11-18 23:43",16/11/2021,,,0,0,0,1300,23.86%,3119,93.77%,25400,153,Torterra,,0,32.63%,2760,95.44%,153400,271,Torterra,,0,
242,Turtwig,,387,♂,449,78,10,14,11,77.8,14.0,14.0,,,,"2021-11-18 23:43",16/11/2021,,,0,0,0,1600,90.11%,406,97.33%,17400,143,Torterra,,0,70.16%,1223,96.90%,115600,229,Torterra,,0,
243,Turtwig,,387,,393,72,9,6,5,44.4,13.0,13.0,,,,"2021-11-18 23:43",16/11/2021,,,0,0,0,0,29.65%,2882,94.08%,22800,149,Torterra,,0,41.98%,2377,95.81%,150800,267,Torterra,,0,
244,Turtwig,,387,♂,178,51,10,3,14,60.0,6.0,6.0,,,,"2021-11-18 23:43",16/11/2021,,,0,0,0,600,23.44%,3136,93.63%,111400,133,Grotle,,0,49.28%,2078,96.09%,150400,269,Torterra,,0,
245,Turtwig,,387,♂,143,43,7,12,4,51.1,5.0,5.0,,,,"2021-11-18 23:43",16/11/2021,,,0,0,0,600,71.82%,1155,96.07%,37600,169,Torterra,,0,44.42%,2277,95.91%,158600,279,Torterra,,0,
246,Turtwig,,387,♀,49,25,11,15,5,68.9,2.0,2.0,,,,"2021-11-18 23:43",17/11/2021,,,0,0,0,200,54.73%,1855,95.25%,37400,173,Torterra,,0,54.43%,1867,96.28%,141600,265,Torterra,,0,
247,Turtwig,,387,♂,14,13,3,13,2,40.0,1.0,1.0,,,,"2021-11-18 23:43",17/11/2021,,,0,0,0,200,88.72%,463,97.19%,42500,179,Torterra,,0,80.37%,805,97.36%,182000,311,Torterra,,0,
248,Turtwig,,387,♂,14,13,8,4,2,31.1,1.0,1.0,Folha Navalha,Pancada Corporal,,"2021-11-18 23:43",17/11/2021,7.36kg,0.31m,0,0,0,200,46.47%,67,98.83%,168000,195,Grotle,,0,41.09%,164,98.49%,206000,341,Torterra,,0,
249,Chimchar,,390,♂,380,71,10,10,12,71.1,15.0,15.0,Brasa,Ataque de Chamas,,"2021-11-18 23:41",18/11/2021,6.66kg,0.52m,0,0,0,1900,48.57%,2107,94.69%,256400,293,Monferno,,0,57.31%,1749,96.18%,208400,339,Infernape,,0,
250,Chimchar,,390,,476,76,5,14,1,44.4,20.0,20.0,,,,"2021-11-18 23:41",17/11/2021,,,0,0,0,0,78.05%,900,96.28%,325000,273,Monferno,,0,51.23%,1998,95.94%,235000,373,Infernape,,0,
251,Chimchar,,390,♀,528,86,2,7,8,37.8,23.0,23.0,Arranhão,Roda de Fogo,,"2021-11-18 23:41",18/11/2021,6.49kg,0.53m,0,0,0,3500,73.55%,1084,95.99%,359000,257,Monferno,,0,73.58%,1083,96.84%,250000,357,Infernape,,0,
252,Chimchar,,390,♂,549,89,0,8,10,40.0,24.0,24.0,,,,"2021-11-18 23:40",17/11/2021,,,0,0,0,3500,93.48%,268,97.60%,365000,251,Monferno,,0,91.60%,345,97.85%,243000,351,Infernape,,0,
253,Chimchar,,390,♂,460,76,4,13,2,42.2,19.5,19.5,,,,"2021-11-18 23:40",17/11/2021,,,0,0,0,2500,76.65%,957,96.19%,339500,275,Monferno,,0,74.16%,1059,96.85%,247500,375,Infernape,,0,
254,Chimchar,,390,♂,446,77,11,14,14,86.7,17.0,17.0,,,,"2021-11-18 23:40",16/11/2021,,,0,0,0,2200,92.55%,306,97.24%,13800,137,Infernape,,0,72.92%,1110,96.81%,174800,297,Infernape,,0,
255,Chimchar,,390,♀,424,75,13,8,12,73.3,16.5,16.5,,,,"2021-11-18 23:40",16/11/2021,,,0,0,0,2200,37.05%,2579,94.11%,240700,287,Monferno,,0,39.37%,2484,95.50%,193700,321,Infernape,,0,
256,Chimchar,,390,♂,326,64,10,6,5,46.7,13.5,13.5,,,,"2021-11-18 23:40",16/11/2021,,,0,0,0,1600,57.14%,1756,95.08%,31200,155,Infernape,,0,18.46%,3340,94.63%,251200,399,Infernape,,0,
257,Chimchar,,390,♂,244,57,12,3,8,51.1,10.0,10.0,,,,"2021-11-18 23:40",16/11/2021,,,0,0,0,1000,7.59%,3785,92.17%,324000,311,Monferno,,0,11.33%,3632,94.21%,250000,396,Infernape,,0,
258,Chimchar,,390,♂,220,55,9,7,11,60.0,9.0,9.0,Brasa,Ataque de Chamas,,"2021-11-18 23:40",17/11/2021,8.28kg,0.58m,0,0,0,1000,48.50%,2110,94.69%,315000,313,Monferno,,0,52.43%,1949,95.99%,242000,383,Infernape,,0,
259,Piplup,,393,♂,756,107,,,,52.8,28.0,28.0,Bolha,Vento Congelante,,"2021-11-18 23:39",,5.9kg,0.41m,0,0,0,4500,71.17%,229,97.74%,131000,169,Prinplup,,0,79.27%,163,98.33%,81000,205,Empoleon,,0,
260,Piplup,,393,♂,727,100,4,9,0,28.9,28.0,28.0,Pancada,Jato de Bolhas,,"2021-11-18 23:39",16/11/2021,2.76kg,0.33m,0,0,0,4500,61.51%,1577,95.50%,179000,223,Prinplup,,0,43.25%,2325,95.74%,105000,235,Empoleon,,0,
261,Piplup,,393,♂,638,102,0,4,12,35.6,25.0,25.0,,,,"2021-11-18 23:39",16/11/2021,,,0,0,0,4000,92.23%,319,97.51%,214000,245,Prinplup,,0,75.75%,994,97.00%,130000,257,Empoleon,,0,
262,Piplup,,393,♂,554,88,4,11,2,37.8,21.0,21.0,,,,"2021-11-18 23:39",16/11/2021,,,0,0,0,3000,75.29%,1013,96.24%,210000,254,Prinplup,,0,67.06%,1350,96.63%,148000,271,Empoleon,,0,
263,Piplup,,393,♂,535,84,5,14,0,42.2,20.0,20.0,,,,"2021-11-18 23:38",16/11/2021,,,0,0,0,2500,54.43%,1867,95.11%,196000,231,Prinplup,,0,64.40%,1459,96.53%,145000,265,Empoleon,,0,
264,Piplup,,393,♂,169,50,9,15,15,86.7,6.0,6.0,,,,"2021-11-18 23:38",18/11/2021,,,0,0,0,600,89.87%,416,96.74%,34200,165,Empoleon,,0,91.70%,341,97.90%,138400,257,Empoleon,,0,
265,Piplup,,393,♂,42,26,4,8,15,60.0,2.0,2.0,Bolha,Jato de Bolhas,,"2021-11-18 23:38",16/11/2021,5.68kg,0.43m,0,0,0,200,89.72%,422,97.28%,222600,261,Prinplup,,0,91.62%,344,97.89%,174600,301,Empoleon,,0,
266,Raticate,Normal,20,♂,971,96,13,13,15,91.1,20.0,20.0,Ataque Rápido,Hiper Raio,,"2021-11-18 23:37",6/1/2020,15.26kg,0.63m,0,0,0,2500,60.81%,1606,95.29%,91000,80,Raticate,Normal,0,99.46%,23,97.58%,475000,248,Raticate,Normal,0,
267,Drifblim,,426,♀,1317,192,11,14,10,77.8,20.0,20.0,Abismar,Vento Ominoso,,"2021-11-18 23:37",31/10/2021,23.51kg,1.51m,0,0,0,2500,61.83%,1564,94.91%,14000,13,Drifblim,,0,86.23%,565,96.65%,376000,248,Drifblim,,0,
268,Magikarp,,129,♀,142,58,,,,90.4,19.0,19.0,Borrifada,,,"2021-11-18 23:34",,7.05kg,0.31m,1,0,0,1250,99.12%,20,95.45%,240000,252,Magikarp,,0,66.46%,365,97.25%,22000,438,Gyarados,Normal,0,
269,Farfetch'd,Normal,83,♀,696,92,,,,92.2,20.0,20.0,Cortador de Fúria,Cortador de Ar,,"2021-11-18 23:34",,12.16kg,0.78m,1,0,0,1250,99.45%,14,97.76%,237500,248,Farfetch'd,Normal,0,99.45%,14,97.76%,237500,248,Farfetch'd,Normal,0,
270,Grovyle,,253,♂,1497,112,15,14,12,91.1,33.5,33.5,Ataque Rápido,Lâmina de Folha,,"2021-11-18 23:34",31/10/2018,23.93kg,0.99m,1,0,0,3500,59.00%,1680,94.95%,0,0,Grovyle,,0,59.61%,1655,96.44%,3500,108,Sceptile,,0,
271,Suicune,,245,,1242,121,,,,72.2,15.0,15.0,Rosnado,Pulso d'Água,,"2021-11-18 23:32",,173.14kg,1.91m,0,0,0,1900,42.90%,1779,95.11%,12000,12,Suicune,,0,14.91%,3003,95.09%,96400,86,Suicune,,0,
272,Suicune,,245,,1250,123,,,,78.9,15.0,15.0,Extrassensorial,Jato de Bolhas,,"2021-11-18 23:32",,328.64kg,2.53m,0,0,0,1900,63.87%,965,96.15%,12000,12,Suicune,,0,40.04%,1809,96.37%,96400,86,Suicune,,0,
273,Suicune,,245,,1250,122,,,,77.8,15.0,15.0,Extrassensorial,Jato de Bolhas,,"2021-11-18 23:32",,224.38kg,2.22m,0,0,0,1900,63.15%,922,96.22%,12000,12,Suicune,,0,35.91%,1975,96.21%,96400,86,Suicune,,0,
274,Suicune,,245,,1291,126,11,14,15,88.9,15.5,15.5,Rosnado,Pulso d'Água,,"2021-11-18 23:32",12/10/2018,205.78kg,2.06m,0,0,0,1900,92.55%,306,97.42%,10100,10,Suicune,,0,72.53%,1126,97.09%,94500,84,Suicune,,0,
275,Raikou,,243,,1429,112,,,,71.9,15.0,15.0,Troca Elétrica,Relâmpago,,"2021-11-18 23:32",,116.62kg,1.72m,0,0,0,1900,46.47%,1731,95.28%,1900,2,Raikou,,0,39.90%,1929,95.78%,60400,54,Raikou,,0,
276,Regice,,378,,1444,110,,,,80.0,16.5,16.5,Respiração de Gelo,Nevasca,,"2021-11-18 23:32",,201.29kg,1.99m,0,0,0,1900,47.13%,1604,95.47%,1900,2,Regice,,0,41.76%,1909,95.95%,76200,68,Regice,,0,
277,Raikou,,243,,1448,113,,,,82.2,15.0,15.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-18 23:32",,221.49kg,2.01m,0,0,0,1900,80.48%,325,97.43%,1900,2,Raikou,,0,23.63%,2538,95.22%,56400,51,Raikou,,0,
278,Entei,,244,,1450,137,,,,82.7,15.0,15.0,Presas de Fogo,Superaquecimento,,"2021-11-18 23:32",,226.18kg,1.97m,0,0,0,1900,87.94%,115,98.04%,1900,2,Entei,,0,42.57%,1628,96.42%,56400,51,Entei,,0,
279,Articuno,,144,,1476,122,15,13,15,95.6,17.0,17.0,Respiração de Gelo,Raio Congelante,,"2021-11-18 23:32",1/11/2019,53.87kg,1.7m,0,0,0,2200,36.56%,2599,94.42%,0,0,Articuno,,0,26.57%,3008,94.91%,74300,66,Articuno,,0,
280,Zapdos,,145,,1481,114,,,,83.9,15.0,15.0,Carga de Raio,Trovão,,"2021-11-18 23:32",,56.55kg,1.72m,0,0,0,1900,53.20%,1239,95.80%,0,0,Zapdos,,0,38.47%,1482,96.48%,52400,48,Zapdos,,0,
281,Zapdos,,145,,1485,114,13,11,15,86.7,15.0,15.0,Carga de Raio,Trovão,,"2021-11-18 23:32",10/11/2019,79.22kg,1.9m,0,0,0,1900,64.79%,1443,95.56%,0,0,Zapdos,,0,57.19%,1754,96.23%,52400,48,Zapdos,,0,
282,Nuzleaf,,274,♂,16,17,11,14,15,88.9,1.0,1.0,Ataque Dissimulado,,,"2021-11-18 23:31",24/5/2020,18.03kg,0.73m,0,0,0,200,94.24%,237,97.66%,62000,172,Shiftry,,0,95.12%,201,97.92%,434000,404,Shiftry,,0,
283,Kakuna,,14,♂,41,41,,,,41.1,5.0,5.0,,,,"2021-11-18 23:30",,10.97kg,0.62m,0,0,0,600,87.87%,177,98.17%,179600,228,Beedrill,Normal,0,29.34%,2148,86.78%,517600,346,Beedrill,Normal,0,
284,Metagross,,376,,50,18,,,,51.0,1.0,1.0,Soco Projétil,Meteoro Esmagador,,"2021-11-18 23:30",,501.72kg,1.46m,0,0,0,200,53.51%,60,98.83%,22000,34,Metagross,,0,46.40%,4,99.64%,72500,81,Metagross,,0,
285,Cyndaquil,,155,♂,118,38,,,,61.4,5.0,5.0,,,,"2021-11-18 23:30",,4.68kg,0.44m,0,0,0,600,67.33%,6,99.86%,247600,291,Quilava,,0,66.93%,20,99.10%,172600,295,Typhlosion,,0,
286,Kakuna,,14,♀,124,61,,,,47.1,12.0,12.0,,,,"2021-11-18 23:30",,8.38kg,0.55m,0,0,0,1300,32.79%,1263,96.14%,133400,174,Beedrill,Normal,0,45.26%,948,90.52%,505400,330,Beedrill,Normal,0,
287,Seedot,,273,♀,145,55,,,,56.7,10.0,10.0,,,,"2021-11-18 23:30",,5.61kg,0.57m,0,0,0,1000,63.21%,7,99.47%,62500,188,Shiftry,,0,65.42%,44,98.92%,510000,411,Shiftry,,0,
288,Horsea,,116,♂,175,39,,,,37.3,7.0,7.0,,,,"2021-11-18 23:30",,7.17kg,0.4m,0,0,0,800,87.00%,103,98.04%,96200,119,Seadra,,0,80.36%,283,97.98%,341200,417,Kingdra,,0,
289,Seedot,,273,♀,184,58,,,,36.4,13.0,13.0,,,,"2021-11-18 23:30",,4.4kg,0.53m,0,0,0,1600,38.14%,288,97.50%,58800,181,Shiftry,,0,29.34%,1600,94.55%,502800,401,Shiftry,,0,
290,Cyndaquil,,155,♂,188,49,,,,45.2,8.0,8.0,,,,"2021-11-18 23:30",,7.17kg,0.52m,0,0,0,800,80.16%,129,98.25%,305600,315,Quilava,,0,86.14%,39,98.90%,191600,317,Typhlosion,,0,
291,Kakuna,,14,♀,191,78,,,,34.3,20.0,20.0,,,,"2021-11-18 23:30",,15.58kg,0.72m,0,0,0,2500,43.42%,667,97.03%,130000,172,Beedrill,Normal,0,23.39%,2238,86.51%,475000,298,Beedrill,Normal,0,
292,Kakuna,,14,♀,211,85,,,,54.9,21.0,21.0,,,,"2021-11-18 23:30",,8.8kg,0.57m,0,0,0,3000,59.47%,436,97.44%,98000,138,Beedrill,Normal,0,59.39%,728,91.38%,470000,294,Beedrill,Normal,0,
293,Kakuna,,14,♂,214,90,,,,38.6,24.0,24.0,,,,"2021-11-18 23:30",,8.96kg,0.54m,0,0,0,3500,83.62%,83,98.66%,113000,158,Beedrill,Normal,0,29.75%,2095,86.92%,451000,276,Beedrill,Normal,0,
294,Kakuna,,14,♂,215,79,,,,42.2,21.0,21.0,,,,"2021-11-18 23:30",,12.4kg,0.72m,0,0,0,3000,28.58%,1894,95.35%,104000,144,Beedrill,Normal,0,34.92%,1985,87.25%,470000,294,Beedrill,Normal,0,
295,Pidgeotto,,17,♀,218,59,,,,51.1,7.0,7.5,,,,"2021-11-18 23:30",,19.05kg,0.97m,0,0,0,800,33.22%,762,96.32%,86400,135,Pidgeot,Normal,0,53.21%,252,94.49%,515200,342,Pidgeot,Normal,0,
296,Natu,,177,♀,225,47,,,,56.2,8.0,8.0,,,,"2021-11-18 23:30",,2.34kg,0.22m,0,0,0,800,44.25%,718,96.49%,73600,123,Xatu,,0,61.81%,954,91.16%,513600,340,Xatu,,0,
297,Seedot,,273,♀,228,68,,,,11.9,18.0,18.0,,,,"2021-11-18 23:30",,4.33kg,0.57m,0,0,0,2200,56.12%,653,96.70%,48400,167,Shiftry,,0,2.62%,3876,86.25%,484400,381,Shiftry,,0,
298,Seedot,,273,♂,298,77,,,,57.3,20.0,20.0,,,,"2021-11-18 23:30",,4.63kg,0.54m,0,0,0,2500,49.40%,594,96.80%,24000,147,Shiftry,,0,63.43%,86,98.57%,475000,373,Shiftry,,0,
299,Seedot,,273,♂,301,82,,,,58.3,21.0,21.0,Ataque Rápido,,,"2021-11-18 23:30",,5.68kg,0.57m,0,0,0,3000,73.06%,33,98.89%,22500,146,Shiftry,,0,62.72%,172,98.04%,470000,369,Shiftry,,0,
300,Seedot,,273,♀,336,82,,,,31.9,25.0,25.0,,,,"2021-11-18 23:30",,4.47kg,0.53m,0,0,0,4000,62.51%,112,98.23%,4000,128,Shiftry,,0,26.83%,2046,93.23%,444000,345,Shiftry,,0,
301,Trapinch,,328,♂,342,55,,,,66.7,10.0,10.0,,,,"2021-11-18 23:30",,23.14kg,0.93m,0,0,0,1000,54.83%,1629,95.56%,37500,165,Flygon,,0,25.54%,2702,95.36%,231000,369,Flygon,,0,
302,Wingull,,278,♀,353,71,,,,59.4,18.0,18.0,,,,"2021-11-18 23:30",,8.03kg,0.57m,0,0,0,2200,35.28%,354,97.03%,52400,96,Pelipper,,0,69.81%,1009,91.24%,484400,306,Pelipper,,0,
303,Forretress,,205,♂,391,67,,,,28.3,7.0,7.0,Picada,Tumba de Rochas,,"2021-11-18 23:30",,70.99kg,0.93m,0,0,0,800,88.69%,285,97.67%,79200,78,Forretress,,0,12.39%,3539,87.71%,515200,292,Forretress,,0,
304,Seedot,,273,♀,417,93,,,,40.7,30.0,30.0,Ataque Rápido,,,"2021-11-18 23:30",,3.65kg,0.48m,0,0,0,5000,31.74%,1667,84.96%,400000,207,Nuzleaf,,0,31.45%,1731,94.17%,400000,307,Shiftry,,0,
305,Seedot,,273,♀,418,88,,,,40.0,29.0,29.0,,,,"2021-11-18 23:30",,4.43kg,0.52m,0,0,0,5000,35.40%,1103,87.35%,410000,215,Nuzleaf,,0,32.72%,1191,95.56%,410000,315,Shiftry,,0,
